Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA500_P_W,500,,,1,0,P,W,YOY,,,-0.0049714402689766,0.0156992557395821
PvsPOA_CS20_POA800_huld_W,800,,CS20,1,0,huld,W,YOY,,,-0.0069588318346645,0.0058450985629603
PvsPOA_CS20_POA100_PVUSA_W,100,,CS20,1,0,PVUSA,W,YOY,,,-0.0088047820602787,0.0047037748474316
PvsPOA_CS20_POA200_PRt_W,200,,CS20,1,0,PRt,W,YOY,,,-0.0083509031331764,0.004809181484572
PvsPOA_CS20_POA5_P_W,5,,CS20,1,0,P,W,YOY,,,-0.0136476672804259,0.022972707327887
POA800_huld_W,800,,,0,0,huld,W,YOY,,,-0.0032803601010469,0.0094861575374706
CS20_POA0_PRt_W,0,,CS20,0,0,PRt,W,YOY,,,-0.0068664141099729,0.0053626469605052
PvsPOA_POA500_PR_W,500,,,1,0,PR,W,YOY,,,-0.0046158431353916,0.0092064121341448
PvsPOA_CS20_POA50_PI_W,50,,CS20,1,0,PI,W,YOY,,,-0.0059678628438245,0.0049878889820325
PvsPOA_POA800_huld_W,800,,,1,0,huld,W,YOY,,,-0.0046890267143352,0.00644399591212
PvsPOA_CS20_POA0_PR_W,0,,CS20,1,0,PR,W,YOY,,,-0.0048448936637199,0.006755847092266
PvsPOA_POA5_huld_W,5,,,1,0,huld,W,YOY,,,-0.0125053613333689,0.0065561608885819
CS20_POA50_PRt_W,50,,CS20,0,0,PRt,W,YOY,,,-0.006702513386297,0.006394312588995
POA500_PI_W,500,,,0,0,PI,W,YOY,,,-0.0035389362159122,0.0066652472289103
PvsPOA_CS20_POA800_PI_W,800,,CS20,1,0,PI,W,YOY,,,-0.0069649304662432,0.0066756559510757
CS20_POA50_PVUSA_W,50,,CS20,0,0,PVUSA,W,YOY,,,-0.0115136886542698,0.009632348773293
PvsPOA_CS20_POA5_huld_W,5,,CS20,1,0,huld,W,YOY,,,-0.0071239640127937,0.0041812276743814
CS20_POA20_PVUSA_W,20,,CS20,0,0,PVUSA,W,YOY,,,-0.0126941843495536,0.0091497945496335
PvsPOA_CS20_POA800_PRt_W,800,,CS20,1,0,PRt,W,YOY,,,-0.0070150682547021,0.0067129514288066
CS20_POA500_P_W,500,,CS20,0,0,P,W,YOY,,,0.0045739736839767,0.0160126022572787
POA0_huld_W,0,,,0,0,huld,W,YOY,,,-0.0095818298203604,0.0060462361236788
PvsPOA_CS20_POA20_PRt_W,20,,CS20,1,0,PRt,W,YOY,,,-0.0061752163174981,0.004326304737127
POA5_PR_W,5,,,0,0,PR,W,YOY,,,-0.0111095370308086,0.0108967622255057
CS20_POA0_huld_W,0,,CS20,0,0,huld,W,YOY,,,-0.0065376744116091,0.0110645596229162
PvsPOA_POA50_PI_W,50,,,1,0,PI,W,YOY,,,-0.0087266140228333,0.0043924514334799
CS20_POA200_PI_W,200,,CS20,0,0,PI,W,YOY,,,-0.0100471436816727,0.0063160573235258
POA0_P_W,0,,,0,0,P,W,YOY,,,0.0090842342601632,0.0286662072505591
CS20_POA500_huld_W,500,,CS20,0,0,huld,W,YOY,,,-0.0039240589360342,0.0048932868917033
POA50_P_W,50,,,0,0,P,W,YOY,,,0.0073045773326226,0.0271931106470665
PvsPOA_POA20_PR_W,20,,,1,0,PR,W,YOY,,,-0.0106679140075519,0.012534007309582
PvsPOA_POA0_PRt_W,0,,,1,0,PRt,W,YOY,,,-0.0086333753285061,0.0037870303077517
CS20_POA500_PRt_ME,500,,CS20,0,0,PRt,ME,YOY,,,-0.0049963797050747,0.0057042241096496
CS20_POA50_huld_ME,50,,CS20,0,0,huld,ME,YOY,,,-0.0023342791150827,0.0134214162826538
PvsPOA_CS20_POA20_PI_ME,20,,CS20,1,0,PI,ME,YOY,,,-0.0057018348753778,0.0063698973323478
PvsPOA_POA200_PVUSA_ME,200,,,1,0,PVUSA,ME,YOY,,,-0.0092241176164866,0.0094063067045368
POA0_P_ME,0,,,0,0,P,ME,YOY,,,0.0435756557300442,0.0694238310303192
POA50_P_ME,50,,,0,0,P,ME,YOY,,,0.0410805766895169,0.0712037604298096
POA50_PRt_ME,50,,,0,0,PRt,ME,YOY,,,-0.0091481804847717,0.0050718410581838
CS20_POA0_P_ME,0,,CS20,0,0,P,ME,YOY,,,0.0087429881095886,0.0369855026241208
PvsPOA_CS20_POA0_huld_ME,0,,CS20,1,0,huld,ME,YOY,,,-0.0088301374286901,0.0044374503398853
PvsPOA_CS20_POA100_huld_ME,100,,CS20,1,0,huld,ME,YOY,,,-0.0054864772681981,0.0051705441513999
CS20_POA5_PVUSA_ME,5,,CS20,0,0,PVUSA,ME,YOY,,,-0.003655195236206,0.0165916728517396
POA500_PI_ME,500,,,0,0,PI,ME,YOY,,,-0.0039477670778993,0.015823483467102
PvsPOA_POA50_PI_ME,50,,,1,0,PI,ME,YOY,,,-0.0095936077865746,0.0061349364740601
PvsPOA_CS20_POA50_PI_ME,50,,CS20,1,0,PI,ME,YOY,,,-0.0060924291610717,0.0062667993737048
PvsPOA_CS20_POA800_PI_ME,800,,CS20,1,0,PI,ME,YOY,,,-0.0025036882181636,0.0098792612552642
CS20_POA5_P_ME,5,,CS20,0,0,P,ME,YOY,,,0.008739948272705,0.0369808667344473
PvsPOA_POA50_PVUSA_ME,50,,,1,0,PVUSA,ME,YOY,,,-0.0151084065437316,0.0104870796203613
PvsPOA_CS20_POA500_PRt_ME,500,,CS20,1,0,PRt,ME,YOY,,,-0.0045496746490561,0.006550580425992
CS20_POA800_PRt_ME,800,,CS20,0,0,PRt,ME,YOY,,,-0.0030564968703223,0.0132390260696411
POA100_PVUSA_ME,100,,,0,0,PVUSA,ME,YOY,,,-0.0121011597211243,0.0087089950595397
CS20_POA5_PRt_ME,5,,CS20,0,0,PRt,ME,YOY,,,-0.0064701255553407,0.0170292319332967
CS20_POA100_PVUSA_ME,100,,CS20,0,0,PVUSA,ME,YOY,,,-0.0032569169998168,0.0160758479045388
PvsPOA_POA5_PR_ME,5,,,1,0,PR,ME,YOY,,,-0.014015779794891,0.0114429013325216
CS20_POA5_huld_ME,5,,CS20,0,0,huld,ME,YOY,,,-0.000929847929647,0.0172993242740631
PvsPOA_POA0_PVUSA_ME,0,,,1,0,PVUSA,ME,YOY,,,-0.0137289731554646,0.0104956626892089
PvsPOA_POA100_PVUSA_ME,100,,,1,0,PVUSA,ME,YOY,,,-0.0142222211334874,0.0108231604099273
CS20_POA50_P_ME,50,,CS20,0,0,P,ME,YOY,,,0.010026205432871,0.0367247450872848
PvsPOA_POA50_huld_ME,50,,,1,0,huld,ME,YOY,,,-0.0133489023466579,0.0087939798831939
PvsPOA_CS20_POA20_PVUSA_ME,20,,CS20,1,0,PVUSA,ME,YOY,,,-0.0092056989669799,0.00624661188308
PvsPOA_CS20_POA0_P_ME,0,,CS20,1,0,P,ME,YOY,,,0.011923676142927,0.0352572144869246
CS20_POA20_PVUSA_ME,20,,CS20,0,0,PVUSA,ME,YOY,,,-0.0034641027450561,0.0166137685052684
CS20_POA200_huld_ME,200,,CS20,0,0,huld,ME,YOY,,,-0.0027661831652531,0.0106969812854391
PvsPOA_POA800_PRt_ME,800,,,1,0,PRt,ME,YOY,,,-0.0012419173300591,0.0107645215721078
POA200_huld_ME,200,,,0,0,huld,ME,YOY,,,-0.0100066661834716,0.0117146372795104
POA0_PVUSA_ME,0,,,0,0,PVUSA,ME,YOY,,,-0.0097123130423123,0.0064861990226422
PvsPOA_POA500_P_ME,500,,,1,0,P,ME,YOY,,,0.0049570292397274,0.0165228384440062
PvsPOA_POA500_PI_ME,500,,,1,0,PI,ME,YOY,,,-0.0035523008453389,0.0075887481534415
PvsPOA_CS20_POA200_P_ME,200,,CS20,1,0,P,ME,YOY,,,0.0073068141937255,0.0303878379356665
PvsPOA_CS20_POA200_PI_ME,200,,CS20,1,0,PI,ME,YOY,,,-0.0072489976882934,0.0057079792022705
POA200_PR_ME,200,,,0,0,PR,ME,YOY,,,-0.0113400075930715,0.0144635736942291
PvsPOA_CS20_POA0_PVUSA_ME,0,,CS20,1,0,PVUSA,ME,YOY,,,-0.0094095468521118,0.0057334674349248
POA5_PR_ME,5,,,0,0,PR,ME,YOY,,,-0.0174759030342102,0.0112414828252271
CS20_POA0_PI_ME,0,,CS20,0,0,PI,ME,YOY,,,-0.0064780011854536,0.0169351336245979
PvsPOA_POA20_PRt_ME,20,,,1,0,PRt,ME,YOY,,,-0.0083345712208357,0.0052234950612802
PvsPOA_POA100_P_ME,100,,,1,0,P,ME,YOY,,,0.0381977986768295,0.061382249684933
PvsPOA_CS20_POA50_huld_ME,50,,CS20,1,0,huld,ME,YOY,,,-0.0066613442585116,0.0051962005310371
PvsPOA_CS20_POA5_PR_ME,5,,CS20,1,0,PR,ME,YOY,,,-0.0092456355446674,0.0113511355033989
PvsPOA_CS20_POA20_PRt_ME,20,,CS20,1,0,PRt,ME,YOY,,,-0.0057428497108605,0.0063626056974702
PvsPOA_POA5_huld_ME,5,,,1,0,huld,ME,YOY,,,-0.013276799454715,0.0083784461021423
POA0_PI_ME,0,,,0,0,PI,ME,YOY,,,-0.0089515117022509,0.0060339329021224
PvsPOA_POA800_P_ME,800,,,1,0,P,ME,YOY,,,-0.0102469292494768,0.0320788395622625
PvsPOA_CS20_POA20_P_ME,20,,CS20,1,0,P,ME,YOY,,,0.0121431383278851,0.0356977673176207
POA0_PR_ME,0,,,0,0,PR,ME,YOY,,,-0.0175199508666992,0.0112330718118636
POA200_PRt_ME,200,,,0,0,PRt,ME,YOY,,,-0.0118484497070312,0.0097626718015618
PvsPOA_POA50_PR_ME,50,,,1,0,PR,ME,YOY,,,-0.0153040022797923,0.0122971987463737
